md5,classification_id,constructor_name,rider_country_iso,rider_full_name,year,points,position,team_color,text_color,_year,_category_id
08df99d8f00dc64c89b1784a02d4d0a0,639294ef-2d41-4856-8a22-1c0b42ce2daf,Kalex,ES,Manuel Gonzalez,2026,80,1,#262626,#ffffff,2026,549640b8-fd9c-4245-acfd-60e4bc38b25c
891360a30372373ed9841e603d1f4621,ccf697ee-e744-4a11-9110-cd7714cc5724,Boscoscuro,ES,Izan Guevara,2026,70,2,#262626,#ffffff,2026,549640b8-fd9c-4245-acfd-60e4bc38b25c
eae180622e9cdd19b079094f46fe101a,6a517fc5-2f3b-4e8a-9b34-f026cdb8f340,Kalex,AU,Senna Agius,2026,59,3,#262626,#ffffff,2026,549640b8-fd9c-4245-acfd-60e4bc38b25c
c2e137558311e9d09b104b2ec0fea099,653ad0d2-0e40-4503-9405-54954958d684,Boscoscuro,IT,Celestino Vietti,2026,53,4,#f08019,#ffffff,2026,549640b8-fd9c-4245-acfd-60e4bc38b25c
a504d89fd4787f941b0226febf24075b,949dd9b3-0bec-47e5-94ad-f2ab38a63e65,Kalex,CO,David Alonso,2026,48,5,#009bb4,#ffffff,2026,549640b8-fd9c-4245-acfd-60e4bc38b25c
457c22efb29d62aeb4dfd30aa22af52c,616e1409-688b-4975-ac68-8a4e45c9d2bd,Kalex,ES,Ivan Ortola,2026,40,6,#d80c24,#ffffff,2026,549640b8-fd9c-4245-acfd-60e4bc38b25c
62a5b5e53e5464cdd214e79e4c2afb03,ad82b7c3-95cd-48c1-bde9-9a5aea33d619,Kalex,ES,Daniel Holgado,2026,38,7,#009bb4,#ffffff,2026,549640b8-fd9c-4245-acfd-60e4bc38b25c
0966d6ad102ea854befda99eba4eec19,74e0f8b5-9641-43a4-8f26-9be8eb371991,Kalex,ES,Daniel Muñoz,2026,36,8,#106ba9,#ffffff,2026,549640b8-fd9c-4245-acfd-60e4bc38b25c
44211d444fe6dea80378a75097d2afe9,e1d152cb-fdd9-4be1-a02b-36701b534ae5,Kalex,ES,Alonso Lopez,2026,32,9,#9baee4,#262626,2026,549640b8-fd9c-4245-acfd-60e4bc38b25c
5bf8aab4c6b5fca8b38e5d8327648a30,b17fd3f5-38a9-46d8-82b4-2cc8fbda01f5,Forward,ES,Alex Escrig,2026,30,10,#73cdba,#262626,2026,549640b8-fd9c-4245-acfd-60e4bc38b25c
6d460dcd3f93b712ee6c23fdc0eb7cf9,398f124b-9086-4497-9a24-5108cb8c11d3,Kalex,NL,Collin Veijer,2026,30,11,#ff6600,#262626,2026,549640b8-fd9c-4245-acfd-60e4bc38b25c
5432114463cead5c487035baf9f37924,f4fb4f07-b6ea-4101-a2a7-14f7b46e5ada,Kalex,IT,Tony Arbolino,2026,26,12,#a5052f,#ffffff,2026,549640b8-fd9c-4245-acfd-60e4bc38b25c
8c3f03f267d32f37bd8d1fa68d63fbd7,1c033025-e806-4ec3-8bb9-12f839f3ef02,Kalex,US,Joe Roberts,2026,16,13,#0d34b2,#ffffff,2026,549640b8-fd9c-4245-acfd-60e4bc38b25c
56a7c566f92b2b7f25f79bd010f38fd8,dec3ec88-1345-4bd8-a692-d178725c4fa8,Kalex,BE,Barry Baltus,2026,13,14,#a5052f,#ffffff,2026,549640b8-fd9c-4245-acfd-60e4bc38b25c
673b4172599b1ab4807e93133d1cec14,33746edc-e9fb-4394-81e6-782c7b572323,Boscoscuro,ES,Aron Canet,2026,12,15,#682a38,#ffffff,2026,549640b8-fd9c-4245-acfd-60e4bc38b25c
a454c2665dbf6e60e9dce935079320f4,ff499ae3-5d08-4201-8137-56047042918f,Kalex,CZ,Filip Salac,2026,10,16,#0d34b2,#ffffff,2026,549640b8-fd9c-4245-acfd-60e4bc38b25c
c35d5a5f6f92117e9a54523ebc7b6db3,7a096777-8bd8-43bf-9c4b-3228e7a95758,Boscoscuro,TR,Deniz öncü,2026,10,17,#682a38,#ffffff,2026,549640b8-fd9c-4245-acfd-60e4bc38b25c
6ecee1872fe8f66bfcf2532ad1258a22,40124fd2-9588-4167-bf60-50ba55c8d978,Kalex,ES,Adrian Huertas,2026,8,18,#106ba9,#ffffff,2026,549640b8-fd9c-4245-acfd-60e4bc38b25c
a6de9334f1fb52a38ecf1821b8606be0,257f9cdb-591f-4a51-9476-e559bd9a4f03,Kalex,JP,Ayumu Sasaki,2026,7,19,#4bace9,#ffffff,2026,549640b8-fd9c-4245-acfd-60e4bc38b25c
c0a8fb78508ab11643470bc2ecab03f0,847a2f51-3450-484d-bb67-ac72c5ed03b7,Kalex,ES,Sergio Garcia,2026,5,20,#9baee4,#262626,2026,549640b8-fd9c-4245-acfd-60e4bc38b25c
d366b034394db016d6f58f847d463911,5848ee64-4109-4375-953c-3058fca4a97f,Kalex,NL,Zonta Vd Goorbergh,2026,4,21,#4bace9,#ffffff,2026,549640b8-fd9c-4245-acfd-60e4bc38b25c
85d1e00e41527628b09dbd7c219aa2f2,bb2a2d38-5f2a-481f-859e-2a5d125ef4ed,Kalex,ID,Mario Aji,2026,3,22,#fafafa,#262626,2026,549640b8-fd9c-4245-acfd-60e4bc38b25c
11ba8f01bcdc5d315bbfe5354c947671,58e72193-dcfb-4db7-922d-430fc8d6c518,Boscoscuro,ES,Alberto Ferrandez,2026,2,23,#262626,#ffffff,2026,549640b8-fd9c-4245-acfd-60e4bc38b25c
0e4c2f72698f93cbc838b6e4a4271770,2f4e341b-4909-4e0b-8e65-4146b38ca9ca,Kalex,ES,Jose Antonio Rueda,2026,1,24,#ff6600,#262626,2026,549640b8-fd9c-4245-acfd-60e4bc38b25c
0e49e40aa983c9e6978189ca078a04cc,591440ae-12a1-4fc3-ba1a-132c9202edf1,Kalex,JP,Taiyo Furusato,2026,0,25,#fafafa,#262626,2026,549640b8-fd9c-4245-acfd-60e4bc38b25c
c46117ab9fe19ba5cbd05b0159c2acf8,8db1a28b-9792-429b-81b4-1a82776bbead,Boscoscuro,IT,Luca Lunetta,2026,0,26,#f08019,#ffffff,2026,549640b8-fd9c-4245-acfd-60e4bc38b25c
780779f2f020f83479e08bb90dcb08f0,8eda7478-068f-45ce-9a56-20df9882908b,Kalex,ES,Angel Piqueras,2026,0,27,#d80c24,#ffffff,2026,549640b8-fd9c-4245-acfd-60e4bc38b25c
efa03ef601078a5206d065d2e93d3a04,a11932a4-6a27-4f0a-b36a-938d710eb11e,Kalex,ES,Marcos Ramirez,2026,0,27,,,2026,549640b8-fd9c-4245-acfd-60e4bc38b25c
b36c670a412cb175fa439949723f1e2c,5d1a94c4-0f80-4525-82a0-c161f12fb518,Forward,ES,Jorge Navarro,2026,0,28,#73cdba,#262626,2026,549640b8-fd9c-4245-acfd-60e4bc38b25c
a44b78bc6dc967ccd11999f294b3a13d,5c60e35c-2e21-4777-a131-9f7b6669ab59,Boscoscuro,IT,Dennis Foggia,2026,0,29,,,2026,549640b8-fd9c-4245-acfd-60e4bc38b25c
